shipment_id,order_id,carrier_id,origin_city,destination_city,distance_km,shipping_cost_inr,weight_kg,dispatch_date,vehicle_number
SHP5028,ORD1028,CAR045,Pune,Lucknow,139,43445,337.0,2026-08-01,MH-60-AB-2846
SHP5029,ORD1029,CAR036,Bengaluru,Vadodara,1114,5579,282.4,2026-08-02,MH-80-AB-1771
SHP5030,ORD1030,CAR043,Bengaluru,Lucknow,712,37616,59.9,2026-08-03,MH-31-AB-9770
SHP5031,ORD1031,CAR020,Jaipur,Vadodara,2015,21715,226.3,2026-08-04,MH-95-AB-1193
SHP5032,ORD1032,CAR018,Hyderabad,Kanpur,787,27317,232.9,2026-08-05,MH-97-AB-2185
SHP5033,ORD1033,CAR043,Mumbai,Nagpur,712,26265,433.0,2026-08-06,MH-64-AB-5005
SHP5034,ORD1034,CAR021,Delhi,Nagpur,1881,31612,275.6,2026-08-07,MH-15-AB-3261
SHP5035,ORD1035,CAR004,Ahmedabad,Patna,1910,27056,193.3,2026-08-08,MH-34-AB-7716
SHP5036,ORD1036,CAR050,Mumbai,Kanpur,1647,19599,488.5,2026-08-09,MH-21-AB-9921
SHP5037,ORD1037,CAR033,Bengaluru,Vadodara,2030,7950,59.8,2026-08-10,MH-36-AB-8815
SHP5038,ORD1038,CAR027,Jaipur,Lucknow,1252,14730,214.2,2026-08-11,MH-92-AB-4451
SHP5039,ORD1039,CAR007,Nagpur,Lucknow,674,30509,25.8,2026-08-12,MH-74-AB-3800
SHP5040,ORD1040,CAR006,Jaipur,Vadodara,2010,6933,371.3,2026-08-13,MH-49-AB-9333
SHP5041,ORD1041,CAR015,Bengaluru,Indore,1112,35366,459.4,2026-08-14,MH-44-AB-2455
SHP5042,ORD1042,CAR018,Ahmedabad,Patna,769,41364,143.6,2026-08-15,MH-93-AB-6808
SHP5043,ORD1043,CAR032,Nagpur,Pune,368,20210,429.9,2026-08-16,MH-22-AB-5796
SHP5044,ORD1044,CAR011,Nagpur,Nagpur,1383,12939,149.6,2026-08-17,MH-58-AB-2325
SHP5045,ORD1045,CAR020,Ahmedabad,Surat,1023,43355,455.8,2026-08-18,MH-71-AB-2159
SHP5046,ORD1046,CAR024,Kolkata,Lucknow,1225,17521,378.2,2026-08-19,MH-52-AB-5987
SHP5047,ORD1047,CAR015,Delhi,Surat,1629,7916,403.4,2026-08-20,MH-48-AB-1340
SHP5048,ORD1048,CAR048,Kolkata,Pune,1858,8480,13.9,2026-08-21,MH-58-AB-1703
SHP5049,ORD1049,CAR007,Kolkata,Kanpur,1694,19558,481.6,2026-08-22,MH-71-AB-6482
SHP5050,ORD1050,CAR021,Nagpur,Surat,346,12601,364.7,2026-08-23,MH-63-AB-7376
